zip,beds,baths,imputed_sqft,type,price
95838,2,1,836,0,59222
95823,3,1,1167,0,68212
95815,2,1,796,0,68880
95815,2,1,852,0,69307
95824,2,1,797,0,81900
95841,3,1,1122,1,89921
95842,3,2,1104,0,90895
95820,3,1,1177,0,91002
95670,2,2,941,1,94905
95673,3,2,1146,0,98937
95838,3,2,909,0,100309
95823,3,2,1289,0,106250
95815,1,1,871,0,106852
95822,3,1,1020,0,107502
95842,2,2,1022,0,108750
95842,2,2,1134,1,110700
95673,2,1,844,0,113263
95621,2,1,795,1,116250
95833,2,1,588,0,120000
95673,3,2,1356,0,121630
95621,3,2,1118,0,122000
95823,4,2,1329,0,122682
95660,4,2,1240,0,123000
95834,3,2,1601,0,124100
95660,3,2,901,0,125000
95843,3,2,1088,0,126640
95820,3,1,963,0,127281
95832,3,2,1119,0,129000
95827,4,2,1380,0,131200
95828,3,2,1248,0,132000
95758,2,2,1039,1,133000
95660,3,2,1152,0,134555
95827,3,2,1380,0,136500
95626,3,2,1116,0,138750
95758,2,2,1039,1,141000
95823,3,2,1418,0,146250
95660,3,2,1082,0,147308
95823,4,2,1472,0,148750
95828,4,2,1146,0,149593
95825,1,1,760,1,150000
95835,2,2,1304,1,152000
95822,3,2,1207,0,154000
95624,3,2,1056,0,156896
95843,2,2,1043,0,161250
95660,4,2,1587,0,161500
95833,4,1,1120,0,164000
95823,4,2,1580,0,165000
95823,4,1,1955,0,166357
95838,4,2,1656,0,166357
95823,3,2,1477,0,168000
95624,3,2,1188,0,170000
95828,4,2,1590,0,173000
95823,3,2,1463,0,174250
95828,4,2,1714,0,174313
95823,3,2,1185,0,178480
95632,3,2,1406,0,178760
95842,4,2,1943,2,179580
95826,3,2,1172,0,181000
95608,3,1,1152,0,181872
95823,4,3,1851,0,182587
95843,3,2,1215,0,182716
95632,3,2,1130,0,182750
95662,4,2,1603,0,183200
95632,3,1,1479,0,188741
95823,3,2,1420,0,189000
95826,3,2,1280,0,192067
95758,3,2,1586,0,194000
95843,3,2,1362,0,194818
95828,4,4,2162,2,195000
95823,3,2,1266,0,198000
95624,4,2,1715,0,199500
95630,3,2,1820,0,200000
95608,3,1,936,0,200000
95834,3,2,1511,0,208000
95823,4,2,1590,0,212864
95758,4,2,1596,0,221000
95835,2,2,1341,0,221000
95624,5,3,2136,0,223058
95624,4,2,1616,0,227887
95823,3,2,1478,0,231477
95670,3,2,1287,0,234697
95621,4,2,1277,0,235000
95833,4,2,1448,0,236000
95829,4,3,2235,0,236685
95655,3,2,2093,0,237800
95673,3,2,1193,0,240122
95757,3,2,2163,0,242638
95828,3,2,1269,0,244000
95828,3,1,958,0,244960
95624,5,3,2508,0,245918
95621,3,2,1305,0,250000
95758,4,2,1591,0,250000
95608,2,2,1326,1,250134
95757,3,2,1843,0,254200
95841,4,2,1921,0,254200
95758,5,3,2790,0,258000
95835,3,2,1541,0,260000
95820,3,1,1018,0,260014
95834,3,2,1672,1,265000
95726,3,2,1380,0,265000
95822,3,1,975,0,271742
95829,4,3,2372,0,273750
95822,3,2,1446,0,275086
95726,2,2,1284,0,280908
95832,4,3,3009,0,280987
95826,8,4,3612,2,282400
95758,4,2,2056,0,285000
95624,4,2,1993,0,287417
95757,3,2,1857,0,291000
95818,2,1,1126,0,292024
95827,4,4,2213,2,297000
95758,5,3,2494,0,297000
95757,3,2,1843,0,298000
95670,2,2,1520,0,299000
95835,5,3,2800,0,304037
95624,4,2,2309,0,311000
95827,5,3,2367,0,315537
95742,5,4,3516,0,320000
95826,4,3,1914,0,328360
95662,2,1,1690,0,334150
95757,3,3,2725,0,335750
95757,4,3,2354,0,335750
95630,3,2,2185,0,344250
95758,4,2,1801,0,346210
95823,3,3,1961,0,347029
95757,4,2,3134,0,347650
95823,4,3,1915,0,351300
95762,3,2,1270,0,352000
95683,4,3,2734,0,370500
95693,3,2,2110,0,372000
95757,5,3,3164,0,375000
95835,5,3,3599,0,381300
95831,4,2,2054,0,381942
95843,4,2,1830,0,387731
95814,3,3,1627,0,391000
95757,4,3,3440,0,394470
95635,3,2,2846,0,395000
95624,4,3,2359,0,400186
95831,3,3,2052,0,415000
95757,5,3,3433,0,425000
95742,5,3,3615,0,430000
95630,5,3,2687,0,460000
95757,4,3,2724,0,461000
95757,4,3,3440,0,489332
95757,5,4,3508,0,510000
95630,4,2,2462,0,539000
95762,4,3,1710,0,600000
95762,4,3,1710,0,606238
95864,3,3,2325,0,660000
95762,6,5,2590,0,830000
95621,2,1,795,1,69000
95817,4,2,1099,0,70000
95624,2,1,840,1,71000
95815,2,1,800,0,78000
95824,2,1,746,0,78400
95822,3,1,1067,0,80000
95815,4,2,1316,0,89000
95815,3,1,1337,0,90000
95824,2,1,868,0,90000
95824,3,1,924,0,92000
95820,2,1,610,0,93675
95815,2,1,1220,0,98000
95758,1,1,722,1,98000
95864,3,1,1643,0,99000
95758,1,1,722,1,100000
95632,3,1,1080,0,106716
95820,3,1,1039,0,111000
95660,3,1,1051,0,111000
95842,2,2,967,0,114800
95670,3,1,1098,0,120108
95824,3,1,1050,0,123225
95838,3,2,1110,0,123750
95660,3,1,888,0,125000
95822,3,2,1120,0,125000
95626,3,2,1080,0,126000
95660,3,1,957,0,129000
95838,2,1,952,0,134000
95838,3,2,1211,0,135000
95815,3,2,1264,0,135500
95833,3,1,1080,0,140000
95632,3,2,1266,0,140000
95628,2,2,994,1,142500
95834,3,2,1202,0,143500
95820,2,1,722,0,145000
95828,4,2,1448,0,145000
95828,3,2,1188,0,145000
95660,4,2,1183,0,146000
95822,3,1,1320,0,148500
95828,3,2,1117,0,149000
95828,3,2,1364,0,150000
95823,4,2,1310,0,150000
95758,2,2,1006,0,152000
95621,3,2,1104,0,156000
95825,2,1,810,0,156000
95624,2,2,1123,0,156000
95842,2,1,904,0,157788
95621,3,2,1156,0,161653
95820,2,1,1321,0,161829
95843,3,2,1392,0,165000
95823,3,2,1439,0,168000
95842,3,2,1159,0,169000
95670,3,2,1671,0,175000
95823,3,2,1740,0,176250
95823,3,2,1265,0,179000
95843,2,2,1007,0,180000
95758,3,2,1716,0,180400
95758,4,2,1685,0,182000
95670,4,2,1829,0,184500
95758,3,2,1555,0,185000
95608,4,2,1120,0,189000
95621,3,2,1137,0,194000
95826,3,1,1174,0,195000
95843,3,2,1393,0,200000
95682,3,1,1220,0,201000
95648,4,2,1660,0,202500
95828,3,2,1289,0,205000
95838,4,2,1799,0,205000
95667,3,2,1270,0,205000
95823,4,3,1953,0,205000
95820,2,1,723,0,207000
95682,2,2,880,0,210000
95667,2,1,948,0,211500
95621,4,2,1578,0,215000
95610,3,2,1317,0,215000
95824,3,1,1360,0,222381
95833,3,2,1522,0,225000
95825,4,2,1751,0,225000
95624,3,2,1465,0,225000
95826,4,2,1605,0,228000
95673,4,2,1475,0,229665
95722,3,1,1216,0,230000
95628,2,2,1315,0,230000
95757,3,2,1567,0,230000
95835,3,2,1776,0,234000
95835,3,2,2187,0,235000
95822,3,1,1291,0,236250
95842,3,2,1503,0,245000
95828,4,3,2491,0,245000
95816,2,1,1269,0,245000
95662,3,2,1176,0,250000
95662,4,2,1456,0,250000
95678,3,2,1498,0,250000
95843,3,2,1574,0,255000
95610,5,4,2085,2,256054
95829,3,2,2170,0,257729
95758,4,2,1595,0,260000
95843,3,2,1567,0,261000
95648,4,2,1660,0,261800
95822,4,2,1253,0,264469
95843,4,3,1768,0,265000
95835,4,3,2030,0,270000
95835,3,2,1531,0,270000
95624,4,3,1653,0,275000
95758,4,2,2056,0,275000
95624,4,3,2494,0,280000
95628,3,2,1450,0,286013
95834,4,2,2169,0,292000
95747,3,2,1440,0,292000
95628,3,2,1527,0,293993
95678,3,2,1401,0,294000
95838,3,2,1411,0,296769
95648,4,4,1760,0,297500
95673,3,1,1284,0,300000
95632,4,3,2307,0,300000
95667,3,2,1329,0,300000
95835,4,2,1910,0,300500
95670,3,2,1981,0,305000
95648,5,3,2100,0,315000
95823,4,2,2205,0,319789
95648,2,2,1449,0,330000
95630,3,2,1258,0,330000
95757,3,2,2575,0,331000
95820,2,1,539,0,334000
95670,4,3,2208,0,336000
95819,3,1,1108,0,339000
95630,4,2,1595,0,339000
95632,4,2,2159,0,345000
95667,4,3,2295,0,350000
95678,3,2,1838,0,356000
95823,4,2,1900,0,361745
95811,4,2,1718,0,361948
95757,5,3,3389,0,370000
95677,4,2,1660,0,380000
95757,5,4,3260,0,385000
95682,3,2,2016,0,399000
95765,4,2,2607,0,402000
95757,4,3,2724,0,406026
95632,5,4,3746,0,420000
95683,4,2,3192,0,425000
95648,4,3,1710,0,436746
95762,5,3,2100,0,438700
95811,2,1,1247,0,445000
95630,4,2,2581,0,450000
95841,3,1,2068,0,460000
95762,3,2,1270,0,460000
95624,4,3,3992,0,460000
95835,4,4,3397,0,465000
95835,5,3,3881,0,471750
95765,5,3,2100,0,480000
95608,2,2,1598,0,484000
95667,4,3,1929,0,485000
95757,4,3,3070,0,495000
95603,3,3,1320,0,504000
95829,5,3,3984,0,572500
95608,4,2,2222,0,582000
95661,4,3,3838,0,613401
95747,4,2,1660,0,614000
95628,5,5,2846,0,680000
95819,5,2,2484,0,699000
95650,4,4,1624,0,839000
95842,2,1,840,1,40000
95825,1,1,484,1,48000
95815,3,1,970,0,61500
95817,2,1,623,0,62050
95820,2,1,932,0,65000
95838,2,1,796,0,65000
95820,2,1,834,0,68000
95820,2,1,834,0,68000
95841,2,1,924,1,77000
95842,2,1,795,1,82732
95838,3,1,1250,0,84000
95820,2,1,984,0,84675
95828,3,1,1013,0,85000
95822,3,1,1012,0,90000
95826,2,1,795,1,90000
95838,2,2,918,0,91000
95838,3,1,1082,0,95000
95842,2,1,964,0,97500
95815,4,2,1404,2,100000
95826,1,1,625,1,100000
95621,2,1,888,0,101000
95815,4,2,1120,0,102750
95660,3,1,1331,0,112500
95821,3,1,1014,0,113000
95820,4,2,1448,0,114000
95838,3,1,966,0,114000
95823,2,1,779,0,114750
95843,2,2,836,1,115000
95678,2,2,1100,1,115000
95832,3,1,1174,0,116100
95660,3,2,1207,0,119250
95828,4,4,1995,2,120000
95820,2,1,804,0,120000
95834,2,2,958,1,120000
95823,3,2,1366,0,120108
95823,2,2,901,0,121500
95815,3,1,696,0,121725
95632,3,2,1080,0,122000
95822,3,2,1104,0,123000
95825,2,1,972,0,125000
95833,4,2,1390,0,125573
95626,4,2,1354,0,126714
95826,2,1,795,1,126960
95678,2,1,780,1,127000
95828,4,2,1587,0,127500
95660,3,2,1209,0,130000
95824,2,1,1139,0,133105
95673,2,2,1690,0,136500
95608,3,2,1245,1,139500
95626,3,2,1416,0,140000
95832,3,2,1300,0,140800
95822,3,2,1120,0,145000
95828,4,2,1590,0,147000
95828,3,2,1407,0,149600
95820,5,2,1516,0,150000
95747,2,2,880,1,150000
95822,3,2,1646,0,150000
95823,3,2,1676,0,155000
95838,3,2,1370,0,155435
95838,3,2,1370,0,155500
95621,4,2,1351,0,158000
95660,3,2,1152,0,158000
95823,3,2,1452,0,160000
95678,2,1,990,0,160000
95621,2,2,1162,0,164000
95673,3,2,1182,0,164000
95758,2,2,1112,0,165000
95632,3,2,1100,0,167000
95621,4,2,1280,0,167293
95621,4,2,1280,0,167293
95820,3,1,1039,0,168000
95842,3,2,1159,0,170000
95833,4,2,1917,0,170000
95827,3,2,1520,0,170000
95632,3,2,1204,0,174000
95841,3,2,1120,0,178000
95823,3,2,1436,0,180000
95826,3,2,1451,0,180000
95828,4,2,1638,0,180000
95608,2,2,1000,1,182000
95661,3,1,1152,0,188325
95747,3,2,1154,0,191500
95838,3,2,1353,0,192000
95621,3,2,1329,0,192700
95826,3,1,1356,0,195000
95838,3,2,1505,0,197654
95842,3,1,1009,0,198000
95823,3,2,1144,0,200345
95864,2,1,930,0,203000
95841,4,2,1766,0,207000
95828,4,3,1940,0,208000
95758,4,2,1776,0,210000
95621,3,1,1258,0,212000
95828,4,2,1872,0,213675
95758,2,2,1112,0,213697
95833,4,2,1856,0,215000
95816,4,3,1939,0,215000
95678,3,1,998,0,215100
95678,3,2,1758,0,217500
95838,3,2,2142,0,218000
95831,2,1,950,0,220000
95758,4,3,1739,0,221000
95624,3,2,1516,0,222900
95843,3,1,988,0,223139
95632,4,2,1555,0,225500
95820,3,2,1212,0,228327
95833,4,2,1871,0,230000
95828,3,2,1302,0,230000
95841,2,1,756,1,230522
95843,4,3,2026,0,231200
95831,3,2,1375,0,232000
95834,2,2,1250,1,232500
95822,3,1,1058,0,233641
95843,3,2,1187,0,234000
95831,2,2,1324,0,234500
95828,4,3,1936,0,235000
95670,5,4,2382,2,236000
95630,3,2,1427,0,236073
95835,3,2,1678,1,238000
95632,4,2,1798,0,238861
95843,4,3,2652,0,239700
95829,4,2,1816,0,240000
95834,5,3,3076,0,240000
95758,4,2,1844,0,241000
95823,3,2,1306,0,245000
95833,4,3,2447,0,246000
95828,4,2,1176,0,247234
95673,4,2,1182,0,247480
95673,3,1,1160,0,249862
95835,3,2,1424,0,251000
95662,4,2,1574,0,252155
95843,3,2,1830,0,254172
95624,4,2,1724,0,258000
95603,2,2,1255,1,260000
95835,4,3,2175,0,261000
95835,4,2,1904,0,261000
95762,4,2,1808,0,262500
95742,4,2,2711,0,266000
95608,3,1,1713,0,266000
95757,3,2,1457,0,270000
95757,4,3,2724,0,274425
95828,3,2,1468,0,275336
95835,4,3,2550,0,277980
95632,4,2,1928,0,280000
95814,3,3,1922,0,284686
95621,3,2,1343,0,284893
95677,3,2,1510,0,285000
95603,2,2,960,2,285000
95608,4,2,1559,0,285000
95623,3,2,1624,0,289000
95832,5,3,2992,0,295000
95758,4,2,2109,0,296000
95670,4,2,1524,0,296056
95828,3,2,1248,0,297359
95823,4,2,1876,0,299940
95648,5,3,2100,0,304000
95670,4,3,1851,0,305000
95835,4,2,2218,0,311328
95828,3,2,1394,0,313138
95828,3,2,1410,0,316630
95758,5,3,3468,0,320000
95843,5,3,2346,0,320000
95843,5,3,2347,0,325000
95834,4,2,1659,0,328578
95757,3,3,2442,0,331000
95833,4,2,2155,0,340000
95828,3,2,1810,0,345746
95757,4,2,2789,0,351000
95632,4,2,1606,0,353767
95835,4,2,2166,0,356035
95835,4,2,1871,0,360552
95835,3,2,1800,0,362305
95817,3,1,1683,0,365000
95678,3,2,1270,0,367554
95765,2,2,1596,0,370000
95667,4,2,1660,0,371086
95757,3,2,1179,0,378000
95818,3,1,1639,0,388000
95742,5,3,3281,0,395100
95819,3,2,1697,0,400000
95762,3,2,1270,0,400000
95843,4,3,2085,0,408431
95815,4,2,1744,2,416767
95762,4,3,1710,0,420000
95630,4,3,1939,0,423000
95682,4,2,1660,0,423000
95814,2,3,1788,0,427500
95765,3,2,1691,0,430922
95758,4,2,2002,0,445000
95757,4,4,4303,0,450000
95834,5,3,4246,0,452000
95661,3,2,2274,0,470000
95762,4,3,1710,0,471000
95662,4,4,3056,0,475000
95758,3,3,2503,0,484500
95762,5,3,2100,0,487500
95677,3,3,1320,0,488750
95630,3,2,1905,0,500000
95663,3,2,1320,0,506688
95648,2,2,880,0,512000
95747,5,3,2100,0,520000
95670,4,2,3037,0,528000
95693,5,2,3741,0,579093
95630,4,3,2660,0,636000
95608,4,3,3357,0,668365
95746,5,3,2896,0,676200
95667,3,2,2025,0,677048
95693,5,3,3788,0,691659
95746,5,3,3670,0,760000
95648,4,2,1660,0,4897
95648,3,2,1270,0,4897
95648,3,2,1270,0,4897
95621,3,2,1166,0,30000
95823,2,1,838,0,55422
95660,2,1,904,0,63000
95815,2,1,1032,0,65000
95838,2,1,904,0,65000
95817,2,1,1080,0,65000
95822,2,2,990,0,66500
95838,2,1,900,0,71000
95824,2,1,861,0,75000
95823,2,1,906,1,77000
95815,2,1,1011,0,85000
95823,3,2,1089,0,95625
95815,2,1,832,0,96140
95822,2,1,800,1,104250
95842,4,2,1292,0,105000
95822,2,1,810,0,108000
95838,4,2,1064,0,109000
95670,2,1,911,0,115000
95835,1,1,846,1,115000
95827,3,2,1320,0,115500
95838,3,2,1410,0,115620
95670,3,2,1115,0,116000
95822,3,2,1169,0,122000
95822,3,2,1164,0,122500
95823,4,2,1341,0,123000
95838,3,2,1219,0,124000
95842,4,2,1127,0,124000
95660,3,2,1272,0,124413
95822,4,2,1253,0,125000
95828,3,2,1120,0,130000
95660,2,2,1118,0,131750
95838,4,3,1890,0,137721
95833,3,2,1260,0,137760
95823,3,2,1400,0,138000
95821,3,1,1264,0,140000
95824,3,1,1060,0,145000
95828,2,2,1132,0,145000
95823,3,2,1466,0,150000
95827,3,2,1092,0,150000
95828,4,2,1628,0,151000
95842,3,2,960,0,155000
95621,3,2,1075,0,155800
95826,3,2,1428,0,156142
95828,4,2,1358,0,158000
95828,6,4,2475,2,159900
95610,3,2,1410,0,160000
95843,3,2,1711,0,161500
95826,4,2,1483,0,161600
95632,3,2,1140,0,162000
95828,4,2,1549,0,165000
95828,3,2,1410,0,165000
95758,3,2,1240,0,167293
95842,5,2,1712,0,168000
95823,4,2,1580,0,168000
95843,3,2,1669,0,168750
95826,3,1,1029,0,168750
95621,3,1,1103,0,170000
95828,3,2,2161,0,170250
95823,3,2,1650,0,173000
95726,3,1,1320,0,175000
95826,3,2,1200,0,176095
95835,3,2,1170,0,176250
95621,3,2,1199,0,178000
95823,4,2,1695,0,179000
95670,3,2,1157,0,180000
95838,3,2,1410,0,180000
95678,3,2,1174,0,180000
95823,3,2,1593,0,181000
95673,3,2,1093,0,182000
95678,3,2,1770,0,182587
95822,4,2,1436,0,185074
95829,3,2,1124,0,185833
95826,4,2,1139,0,186785
95832,3,2,1638,0,187000
95833,3,2,1328,0,188335
95758,3,2,1273,0,190000
95838,3,1,1082,0,190000
95827,4,2,1578,0,190000
95661,2,1,796,0,190000
95823,3,2,1386,0,191250
95670,3,2,1452,0,193000
95823,3,2,1513,0,193500
95842,4,2,1578,0,195000
95610,4,3,1736,0,195000
95682,2,2,880,0,195000
95821,3,1,1473,0,195000
95820,3,1,1150,0,198000
95833,3,2,1127,0,199900
95628,3,1,1144,0,200000
95608,3,1,972,0,201000
95758,4,2,2306,0,204918
95843,3,2,1479,0,205000
95623,2,1,1040,0,205000
95838,3,2,1430,0,205878
95832,4,2,1800,0,207000
95843,4,2,1953,0,207744
95835,3,2,1120,0,209000
95834,3,2,1232,0,210000
95678,3,2,1270,1,212500
95758,4,2,2329,0,213750
95758,3,2,1351,0,215000
95682,2,2,880,0,215000
95661,4,1,1376,0,215000
95619,3,2,1300,0,216033
95825,4,2,1566,0,220000
95817,2,1,1115,0,220000
95818,2,1,1032,0,220000
95621,4,2,1419,0,220000
95757,3,2,1261,0,220000
95608,2,2,1637,0,220702
95825,4,2,1776,2,221250
95758,3,2,1338,0,222000
95624,5,2,2254,0,222750
95834,3,2,1441,0,225000
95838,4,2,1991,0,225000
95829,4,3,2126,0,228750
95624,3,2,1094,0,229000
95677,3,2,1462,0,230095
95834,5,3,2258,0,232500
95670,3,2,1074,0,233000
95624,4,2,2111,0,233500
95835,3,2,1686,0,239000
95843,4,3,1915,0,240000
95624,4,2,2367,0,240000
95823,3,2,1962,0,240971
95670,2,2,1406,0,242000
95829,3,2,1789,0,243450
95835,4,2,1876,0,243500
95843,3,2,1235,0,246544
95843,4,2,2504,0,246750
95608,3,2,1676,0,247000
95621,3,2,1367,0,249000
95758,4,3,1899,0,249000
95758,3,2,1636,0,250000
95821,3,2,1828,0,250000
95826,4,2,1438,0,252000
95624,3,2,1451,0,255000
95825,3,1,1520,0,255000
95747,3,2,1506,0,255000
95835,4,2,2605,0,257200
95662,3,2,1196,0,260000
95648,3,2,1621,0,260000
95835,3,2,1811,0,263500
95757,3,2,1540,0,266510
95648,4,2,1660,0,267750
95762,4,2,1660,0,272700
95757,3,2,1543,0,275000
95835,5,3,2494,0,276000
95648,3,2,1650,0,276500
95632,4,3,2214,0,278000
95835,5,3,2280,0,279000
95608,3,2,1443,0,280000
95621,4,2,1582,0,280000
95757,3,2,1857,0,285000
95758,3,2,1735,0,288000
95624,4,3,2096,0,289000
95825,3,2,1720,0,290000
95843,4,2,2160,0,290000
95838,4,2,1382,0,293996
95667,3,2,1270,0,294000
95624,4,2,1721,0,294173
95650,4,2,1328,0,295000
95624,4,2,1982,0,298000
95818,2,1,1144,0,299000
95825,2,2,1623,0,300000
95614,3,2,1457,0,300000
95624,6,3,2555,0,300000
95765,3,2,1577,0,300567
95757,5,3,2592,0,303000
95610,3,2,1401,0,305000
95648,4,2,1660,0,306000
95608,3,2,1502,0,310000
95630,3,2,1327,0,310000
95678,4,3,1800,0,310000
95831,4,2,2169,0,311518
95648,5,3,2457,0,312000
95662,4,2,2004,0,315000
95678,4,3,2212,0,315000
95843,5,3,3134,0,315000
95864,3,2,1360,0,315000
95765,4,2,1660,0,315000
95822,3,2,1276,0,320000
95834,4,3,2962,0,322000
95765,4,2,1888,0,325000
95678,3,2,1270,0,326951
95632,3,2,1548,0,328370
95648,2,2,880,0,330000
95670,4,3,2109,0,330000
95827,4,2,2484,0,331200
95834,4,3,2258,0,332000
95835,3,3,2212,0,334000
95662,3,2,1616,0,335000
95835,4,2,2372,0,341000
95765,5,3,2606,0,346375
95678,5,3,2100,0,347225
95757,5,3,2877,0,349000
95843,3,2,2960,0,350000
95648,2,2,880,0,350000
95678,3,2,2172,0,350000
95678,3,2,2100,1,350000
95831,3,2,1795,0,351000
95762,3,2,1270,0,356200
95661,4,2,2295,0,360000
95747,4,3,2577,0,367463
95690,3,1,1727,0,380000
95758,3,2,1485,0,380578
95608,3,2,1655,0,386222
95661,3,2,2049,0,395500
95757,5,3,2875,0,397000
95762,4,2,2199,0,400000
95747,4,3,1710,0,412500
95818,2,1,1304,0,413500
95608,3,2,2334,0,415000
95603,4,3,2278,0,420454
95819,3,1,1493,0,425000
95682,3,2,1270,0,425000
95747,5,3,2100,0,438000
95630,5,3,2787,0,441000
95831,5,3,2824,0,445000
95630,4,3,3261,0,446000
95821,4,2,2053,0,450000
95661,4,3,2379,0,455000
95762,3,2,1270,0,460000
95667,3,2,1270,0,475000
95633,3,2,1270,0,490000
95762,4,2,1660,0,493000
95762,5,4,2150,0,508000
95628,3,2,3173,0,525000
95762,4,3,1710,0,533000
95864,3,1,1348,0,545000
95603,4,3,1710,0,560000
95816,2,1,1252,0,575000
95630,4,3,3229,0,575000
95829,5,4,3863,0,598695
95747,5,3,2100,0,600000
95677,4,3,1710,0,600000
95746,4,3,2356,0,600000
95747,5,3,3579,0,610000
95762,4,3,1710,0,879000
95693,4,3,4400,0,884790
95648,3,3,1320,0,1551
95683,3,4,5822,0,2000
95828,4,2,1512,0,56950
95826,1,1,611,1,60000
95823,2,1,876,0,61000
95842,2,1,933,1,62000
95820,2,1,864,0,68566
95838,2,1,1011,0,70000
95815,4,2,1158,0,80000
95838,3,2,1092,0,85500
95833,2,1,956,1,92000
95824,2,2,1139,0,93600
95822,3,1,1058,0,95000
95838,3,2,1040,0,97750
95823,3,2,1354,0,104000
95660,3,1,1051,0,105000
95825,1,1,682,1,107666
95824,3,1,1161,0,109000
95838,3,1,1004,0,110000
95660,3,1,1229,0,110000
95832,3,2,1249,0,112500
95832,3,2,1161,0,114800
95823,3,1,1010,0,116000
95820,4,2,1462,0,121500
95828,3,2,1269,0,122000
95820,2,2,1188,0,123675
95838,4,2,1570,0,126854
95817,3,2,1093,0,127059
95828,3,1,962,0,128687
95823,3,2,1089,0,129500
95824,3,2,1127,0,130000
95822,4,2,1309,0,131750
95673,2,1,970,0,132000
95823,3,2,1144,0,134000
95670,3,1,1000,0,134000
95843,3,2,1206,0,142000
95825,3,1,1285,0,143012
95828,3,2,1543,0,145846
95691,2,1,884,0,147000
95817,3,1,1019,0,148750
95823,4,2,1392,0,150000
95842,2,1,924,1,150454
95823,3,2,1217,0,151087
95843,3,2,1670,0,157296
95832,3,2,1302,0,157500
95823,3,2,1488,0,160000
95660,3,2,1373,0,160000
95621,4,2,1381,0,161250
95823,3,2,1265,0,164000
95818,2,1,881,0,165000
95829,4,2,1608,0,165750
95621,3,1,1344,0,166000
95834,3,2,1202,0,169000
95648,3,2,1104,0,170000
95747,2,2,880,1,170000
95828,4,2,1859,2,170000
95832,3,2,1232,0,170000
95828,3,1,1638,0,170725
95831,2,2,1177,0,171750
95833,3,2,1582,0,172000
95823,2,2,904,0,173056
95758,3,2,1340,0,174000
95833,3,2,1204,0,174250
95624,4,2,1477,0,176850
95823,4,2,1497,0,179500
95628,3,1,960,0,185000
95834,3,2,1428,0,188700
95820,3,1,1039,0,189000
95628,3,1,1529,0,189000
95621,4,3,1892,0,189836
95838,4,2,1887,0,190000
95662,3,2,1294,0,191250
95832,3,2,1638,0,191675
95823,3,2,1677,0,195500
95621,3,1,1073,0,198000
95838,3,2,1231,0,200000
95758,3,2,1175,0,200000
95624,3,2,1416,0,200000
95835,3,2,1358,0,201528
95624,4,2,1609,0,204750
95842,4,3,1968,0,205000
95818,2,2,1089,0,205000
95608,3,2,1296,0,205900
95758,2,2,1189,0,207000
95815,2,1,795,0,207973
95747,3,2,1371,0,208250
95660,3,1,1310,0,208318
95632,3,2,1262,0,209347
95624,4,2,1740,0,211500
95843,3,2,1517,0,212000
95828,3,2,1450,0,213000
95624,3,2,1416,0,216000
95828,3,1,888,0,216021
95610,3,2,1882,0,219000
95757,3,2,1302,0,219794
95758,3,2,1418,0,220000
95678,3,2,1270,1,220000
95608,4,2,1319,0,220000
95632,4,2,1770,0,220000
95842,4,2,1627,0,223000
95821,3,1,1040,0,224000
95660,3,1,960,0,224252
95682,3,2,1270,0,224500
95662,3,1,1456,0,225000
95757,3,2,1450,0,228000
95648,3,2,1358,0,229027
95823,4,2,1329,0,229500
95823,4,2,1715,0,230000
95758,3,2,1262,0,230000
95829,4,3,2280,0,232425
95823,3,2,1477,0,234000
95610,3,2,1216,0,235000
95758,4,2,1685,0,235301
95762,3,2,1362,0,235738
